multiplier avg_speed
0.0001 2.1975597240680327
0.01 1.0023807566975405
0.02 2.412045400791703
0.05 2.2710960548268337
0.1 1.376956131994884
0.25 2.5287368325644777
0.5 2.2741580468751263
0.75 2.246946384814201
1 2.1684702057562775
2 1.7868490743405052
3 1.5627945664599268
4 1.2839066512867965
5 1.204767214573126
